stage,suite,world_index,method,backbone,expert_task,alpha,budget,found,cost,cost_ratio,oracle_cost,expansions,closed,roadmap_nodes,roadmap_edges,obstacle_count,side_len,heuristic_max,heuristic_min,heuristic_mean,heuristic_std,spearman_to_prm_oracle,heatmap_min,heatmap_max,heatmap_mean,heatmap_std,nonfinite_heuristic
c6,C_hard_maze,0,euclidean,,,0.0,128,0,nan,nan,1.8952562973119702,128,128,192,653,25,1.0,1.0268013384131527,0.0,0.5177285316388972,0.2445786256588243,0.9206894447006485,0.0,1.0268013384131527,0.5177285316388972,0.2445786256588243,0
c6,C_hard_maze,0,euclidean,,,0.0,144,1,1.8952562973119698,0.9999999999999998,1.8952562973119702,132,132,192,653,25,1.0,1.0268013384131527,0.0,0.5177285316388972,0.2445786256588243,0.9206894447006485,0.0,1.0268013384131527,0.5177285316388972,0.2445786256588243,0
c6,C_hard_maze,0,euclidean,,,0.0,168,1,1.8952562973119698,0.9999999999999998,1.8952562973119702,132,132,192,653,25,1.0,1.0268013384131527,0.0,0.5177285316388972,0.2445786256588243,0.9206894447006485,0.0,1.0268013384131527,0.5177285316388972,0.2445786256588243,0
c6,C_hard_maze,0,grid_oracle,,,0.0,128,1,1.9051378807311286,1.005213850724661,1.8952562973119702,85,85,192,653,25,1.0,2.011037490921511,0.004211432182297737,0.8845047319959803,0.5159040544135215,0.9948966443317149,0.0,2.0579793456039788,0.8939743805797397,0.5232611726194638,0
c6,C_hard_maze,0,grid_oracle,,,0.0,144,1,1.9051378807311286,1.005213850724661,1.8952562973119702,85,85,192,653,25,1.0,2.011037490921511,0.004211432182297737,0.8845047319959803,0.5159040544135215,0.9948966443317149,0.0,2.0579793456039788,0.8939743805797397,0.5232611726194638,0
c6,C_hard_maze,0,grid_oracle,,,0.0,168,1,1.9051378807311286,1.005213850724661,1.8952562973119702,85,85,192,653,25,1.0,2.011037490921511,0.004211432182297737,0.8845047319959803,0.5159040544135215,0.9948966443317149,0.0,2.0579793456039788,0.8939743805797397,0.5232611726194638,0
c6,C_hard_maze,0,unet,unet,,0.0,128,1,1.9369098333993613,1.021977785350967,1.8952562973119702,75,75,192,653,25,1.0,2.1757623730352322,0.0662614197955429,0.9959280419404056,0.5784084249389071,0.9851121042780026,0.025839993730187416,1.5567089319229126,0.5024519308167328,0.35783526088037415,0
c6,C_hard_maze,0,unet,unet,,0.0,144,1,1.9369098333993613,1.021977785350967,1.8952562973119702,75,75,192,653,25,1.0,2.1757623730352322,0.0662614197955429,0.9959280419404056,0.5784084249389071,0.9851121042780026,0.025839993730187416,1.5567089319229126,0.5024519308167328,0.35783526088037415,0
c6,C_hard_maze,0,unet,unet,,0.0,168,1,1.9369098333993613,1.021977785350967,1.8952562973119702,75,75,192,653,25,1.0,2.1757623730352322,0.0662614197955429,0.9959280419404056,0.5784084249389071,0.9851121042780026,0.025839993730187416,1.5567089319229126,0.5024519308167328,0.35783526088037415,0
c6,C_hard_maze,0,onlstm,onlstm,,0.0,128,1,1.9534854112419158,1.0307236092619936,1.8952562973119702,88,88,192,653,25,1.0,2.0364800726270262,0.014300399231808484,0.9713625664120352,0.5835920409314278,0.925265510132111,0.011477557010948658,1.0633362531661987,0.469530090455919,0.33948043974274744,0
