suite,budget,method,episodes,euclidean_success,method_success,delta,paired_gains,paired_losses,mcnemar_p,expansion_delta,bh_q,claim_candidate
C_hard_maze,128,grid_oracle,40,0.175,0.825,0.6499999999999999,26,0,2.9802322387695312e-08,-37.55,3.5762786865234375e-07,0
C_hard_maze,128,hrm,40,0.175,0.8,0.625,25,0,5.960464477539063e-08,-34.5,5.364418029785156e-07,0
C_hard_maze,128,onlstm,40,0.175,0.725,0.55,22,0,4.76837158203125e-07,-24.9,2.452305385044643e-06,0
C_hard_maze,128,unet,40,0.175,0.75,0.575,23,0,2.384185791015625e-07,-31.075,1.71661376953125e-06,0
C_hard_maze,144,grid_oracle,40,0.625,0.95,0.32499999999999996,13,0,0.000244140625,-45.325,0.00048828125,0
C_hard_maze,144,hrm,40,0.625,0.975,0.35,14,0,0.0001220703125,-42.375,0.0003380408653846154,1
C_hard_maze,144,onlstm,40,0.625,0.9,0.275,12,1,0.00341796875,-31.475,0.005859375,1
C_hard_maze,144,unet,40,0.625,0.95,0.32499999999999996,13,0,0.000244140625,-38.05,0.00048828125,1
C_hard_maze,168,grid_oracle,40,1.0,1.0,0.0,0,0,1.0,-47.75,1.0,0
C_hard_maze,168,hrm,40,1.0,1.0,0.0,0,0,1.0,-44.825,1.0,0
C_hard_maze,168,onlstm,40,1.0,1.0,0.0,0,0,1.0,-33.275,1.0,0
C_hard_maze,168,unet,40,1.0,1.0,0.0,0,0,1.0,-40.45,1.0,0
C_hard_maze_dense,128,grid_oracle,40,0.075,0.975,0.9,36,0,2.9103830456733704e-11,-33.0,1.0477378964424133e-09,0
C_hard_maze_dense,128,hrm,40,0.075,0.5,0.425,17,0,1.52587890625e-05,-7.5,6.103515625e-05,0
C_hard_maze_dense,128,onlstm,40,0.075,0.375,0.3,12,0,0.00048828125,-5.075,0.00087890625,0
C_hard_maze_dense,128,unet,40,0.075,0.4,0.325,13,0,0.000244140625,-5.075,0.00048828125,0
C_hard_maze_dense,144,grid_oracle,40,0.45,1.0,0.55,22,0,4.76837158203125e-07,-45.8,2.452305385044643e-06,0
C_hard_maze_dense,144,hrm,40,0.45,0.825,0.37499999999999994,15,0,6.103515625e-05,-15.325,0.00018310546875,0
C_hard_maze_dense,144,onlstm,40,0.45,0.85,0.39999999999999997,16,0,3.0517578125e-05,-11.075,9.987571022727273e-05,0
C_hard_maze_dense,144,unet,40,0.45,0.85,0.39999999999999997,16,0,3.0517578125e-05,-10.8,9.987571022727273e-05,0
C_hard_maze_dense,168,grid_oracle,40,1.0,1.0,0.0,0,0,1.0,-49.625,1.0,0
C_hard_maze_dense,168,hrm,40,1.0,1.0,0.0,0,0,1.0,-18.7,1.0,0
C_hard_maze_dense,168,onlstm,40,1.0,1.0,0.0,0,0,1.0,-13.85,1.0,0
C_hard_maze_dense,168,unet,40,1.0,1.0,0.0,0,0,1.0,-13.85,1.0,0
C_hard_rooms,128,grid_oracle,40,0.0,0.775,0.775,31,0,9.313225746154785e-10,-16.075,1.6763806343078613e-08,0
C_hard_rooms,128,hrm,40,0.0,0.2,0.2,8,0,0.0078125,-0.65,0.01278409090909091,0
C_hard_rooms,128,onlstm,40,0.0,0.05,0.05,2,0,0.5,0.0,0.75,0
C_hard_rooms,128,unet,40,0.0,0.1,0.1,4,0,0.125,-0.275,0.1956521739130435,0
C_hard_rooms,144,grid_oracle,40,0.375,0.9,0.525,21,0,9.5367431640625e-07,-27.725,4.291534423828125e-06,0
C_hard_rooms,144,hrm,40,0.375,0.7,0.32499999999999996,13,0,0.000244140625,-7.075,0.00048828125,0
C_hard_rooms,144,onlstm,40,0.375,0.675,0.30000000000000004,12,0,0.00048828125,-2.425,0.00087890625,0
C_hard_rooms,144,unet,40,0.375,0.7,0.32499999999999996,13,0,0.000244140625,-4.65,0.00048828125,0
C_hard_rooms,168,grid_oracle,40,1.0,1.0,0.0,0,0,1.0,-32.85,1.0,0
C_hard_rooms,168,hrm,40,1.0,1.0,0.0,0,0,1.0,-9.925,1.0,0
C_hard_rooms,168,onlstm,40,1.0,1.0,0.0,0,0,1.0,-4.75,1.0,0
C_hard_rooms,168,unet,40,1.0,1.0,0.0,0,0,1.0,-6.875,1.0,0
