stage,suite,world_index,method,backbone,expert_task,alpha,budget,found,cost,cost_ratio,oracle_cost,expansions,closed,roadmap_nodes,roadmap_edges,obstacle_count,side_len,heuristic_max,heuristic_min,heuristic_mean,heuristic_std,spearman_to_prm_oracle,heatmap_min,heatmap_max,heatmap_mean,heatmap_std,nonfinite_heuristic
c6,C_hard_rooms,0,euclidean,,,0.0,128,0,nan,nan,5.979236080123035,128,128,192,602,36,2.0,2.2110159395620634,0.0,1.1504425455376792,0.5181177468239369,0.9205215934677049,0.0,2.2110159395620634,1.1504425455376792,0.5181177468239369,0
c6,C_hard_rooms,0,euclidean,,,0.0,144,0,nan,nan,5.979236080123035,144,144,192,602,36,2.0,2.2110159395620634,0.0,1.1504425455376792,0.5181177468239369,0.9205215934677049,0.0,2.2110159395620634,1.1504425455376792,0.5181177468239369,0
c6,C_hard_rooms,0,euclidean,,,0.0,168,1,5.979236080123035,1.0,5.979236080123035,155,155,192,602,36,2.0,2.2110159395620634,0.0,1.1504425455376792,0.5181177468239369,0.9205215934677049,0.0,2.2110159395620634,1.1504425455376792,0.5181177468239369,0
c6,C_hard_rooms,0,grid_oracle,,,0.0,128,1,5.979236080123035,1.0,5.979236080123035,128,128,192,602,36,2.0,5.771491770272199,0.01376340449875722,2.994277071344099,1.6992374112726745,0.9753275642242901,0.0,5.897208691207963,2.8642679841108687,1.705827627859117,0
c6,C_hard_rooms,0,grid_oracle,,,0.0,144,1,5.979236080123035,1.0,5.979236080123035,128,128,192,602,36,2.0,5.771491770272199,0.01376340449875722,2.994277071344099,1.6992374112726745,0.9753275642242901,0.0,5.897208691207963,2.8642679841108687,1.705827627859117,0
c6,C_hard_rooms,0,grid_oracle,,,0.0,168,1,5.979236080123035,1.0,5.979236080123035,128,128,192,602,36,2.0,5.771491770272199,0.01376340449875722,2.994277071344099,1.6992374112726745,0.9753275642242901,0.0,5.897208691207963,2.8642679841108687,1.705827627859117,0
c6,C_hard_rooms,0,unet,unet,,0.0,128,0,nan,nan,5.979236080123035,128,128,192,602,36,2.0,6.038281205098681,0.08443577782651163,2.9527876936852913,1.6941045873469176,0.9731590619320187,0.02888205274939537,2.2234103679656982,0.8518154658199819,0.6009604924812934,0
c6,C_hard_rooms,0,unet,unet,,0.0,144,1,5.986411827516942,1.0012001110673254,5.979236080123035,133,133,192,602,36,2.0,6.038281205098681,0.08443577782651163,2.9527876936852913,1.6941045873469176,0.9731590619320187,0.02888205274939537,2.2234103679656982,0.8518154658199819,0.6009604924812934,0
c6,C_hard_rooms,0,unet,unet,,0.0,168,1,5.986411827516942,1.0012001110673254,5.979236080123035,133,133,192,602,36,2.0,6.038281205098681,0.08443577782651163,2.9527876936852913,1.6941045873469176,0.9731590619320187,0.02888205274939537,2.2234103679656982,0.8518154658199819,0.6009604924812934,0
c6,C_hard_rooms,0,onlstm,onlstm,,0.0,128,0,nan,nan,5.979236080123035,128,128,192,602,36,2.0,4.845380409679786,0.03623201647962966,2.67634316569017,1.402230166336717,0.9433137563410467,0.007890598848462105,1.5758798122406006,0.7254598774172791,0.4564597510318464,0
