suite,budget,method,episodes,euclidean_success,method_success,delta,paired_gains,paired_losses,mcnemar_p,expansion_delta,bh_q,claim_candidate
C_hard_maze,128,grid_oracle,40,0.175,0.825,0.6499999999999999,26,0,2.9802322387695312e-08,-37.55,1.7881393432617188e-07,0
C_hard_maze,128,hrm,40,0.175,0.775,0.6000000000000001,24,0,1.1920928955078125e-07,-37.95,4.291534423828125e-07,0
C_hard_maze,128,onlstm,40,0.175,0.875,0.7,28,0,7.450580596923828e-09,-36.325,6.705522537231445e-08,0
C_hard_maze,128,unet,40,0.175,0.775,0.6000000000000001,24,0,1.1920928955078125e-07,-33.8,4.291534423828125e-07,0
C_hard_maze,144,grid_oracle,40,0.625,0.95,0.32499999999999996,13,0,0.000244140625,-45.325,0.00039950284090909093,0
C_hard_maze,144,hrm,40,0.625,0.975,0.35,14,0,0.0001220703125,-46.025,0.00020926339285714285,1
C_hard_maze,144,onlstm,40,0.625,0.95,0.32499999999999996,14,1,0.0009765625,-44.15,0.0015285326086956522,1
C_hard_maze,144,unet,40,0.625,0.975,0.35,14,0,0.0001220703125,-41.35,0.00020926339285714285,1
C_hard_maze,168,grid_oracle,40,1.0,1.0,0.0,0,0,1.0,-47.75,1.0,0
C_hard_maze,168,hrm,40,1.0,1.0,0.0,0,0,1.0,-48.475,1.0,0
C_hard_maze,168,onlstm,40,1.0,1.0,0.0,0,0,1.0,-46.55,1.0,0
C_hard_maze,168,unet,40,1.0,1.0,0.0,0,0,1.0,-43.875,1.0,0
C_hard_maze_dense,128,grid_oracle,40,0.075,0.975,0.9,36,0,2.9103830456733704e-11,-33.0,1.0477378964424133e-09,0
C_hard_maze_dense,128,hrm,40,0.075,0.9,0.8250000000000001,33,0,2.3283064365386963e-10,-25.1,4.190951585769653e-09,0
C_hard_maze_dense,128,onlstm,40,0.075,0.675,0.6000000000000001,24,0,1.1920928955078125e-07,-13.725,4.291534423828125e-07,0
C_hard_maze_dense,128,unet,40,0.075,0.7,0.625,25,0,5.960464477539063e-08,-14.025,3.065381731305804e-07,0
C_hard_maze_dense,144,grid_oracle,40,0.45,1.0,0.55,22,0,4.76837158203125e-07,-45.8,1.3204721304086538e-06,0
C_hard_maze_dense,144,hrm,40,0.45,1.0,0.55,22,0,4.76837158203125e-07,-37.575,1.3204721304086538e-06,0
C_hard_maze_dense,144,onlstm,40,0.45,0.925,0.47500000000000003,19,0,3.814697265625e-06,-23.275,8.078182444852941e-06,0
C_hard_maze_dense,144,unet,40,0.45,0.925,0.47500000000000003,19,0,3.814697265625e-06,-24.25,8.078182444852941e-06,0
C_hard_maze_dense,168,grid_oracle,40,1.0,1.0,0.0,0,0,1.0,-49.625,1.0,0
C_hard_maze_dense,168,hrm,40,1.0,1.0,0.0,0,0,1.0,-41.4,1.0,0
C_hard_maze_dense,168,onlstm,40,1.0,1.0,0.0,0,0,1.0,-26.725,1.0,0
C_hard_maze_dense,168,unet,40,1.0,1.0,0.0,0,0,1.0,-27.575,1.0,0
C_hard_rooms,128,grid_oracle,40,0.0,0.775,0.775,31,0,9.313225746154785e-10,-16.075,1.1175870895385742e-08,0
C_hard_rooms,128,hrm,40,0.0,0.675,0.675,27,0,1.4901161193847656e-08,-14.05,1.0728836059570313e-07,0
C_hard_rooms,128,onlstm,40,0.0,0.175,0.175,7,0,0.015625,-1.025,0.0234375,0
C_hard_rooms,128,unet,40,0.0,0.575,0.575,23,0,2.384185791015625e-07,-9.05,7.802789861505682e-07,0
C_hard_rooms,144,grid_oracle,40,0.375,0.9,0.525,21,0,9.5367431640625e-07,-27.725,2.452305385044643e-06,0
C_hard_rooms,144,hrm,40,0.375,0.875,0.5,20,0,1.9073486328125e-06,-24.5,4.57763671875e-06,0
C_hard_rooms,144,onlstm,40,0.375,0.75,0.375,15,0,6.103515625e-05,-6.25,0.00011564555921052631,0
C_hard_rooms,144,unet,40,0.375,0.8,0.42500000000000004,17,0,1.52587890625e-05,-18.7,3.0517578125e-05,0
C_hard_rooms,168,grid_oracle,40,1.0,1.0,0.0,0,0,1.0,-32.85,1.0,0
C_hard_rooms,168,hrm,40,1.0,1.0,0.0,0,0,1.0,-29.175,1.0,0
C_hard_rooms,168,onlstm,40,1.0,1.0,0.0,0,0,1.0,-9.275,1.0,0
C_hard_rooms,168,unet,40,1.0,1.0,0.0,0,0,1.0,-22.6,1.0,0
