provider,mode,w,budget,found,expansions,closed,cost,optimal,suboptimality,nonfinite,suite,world_index
euclid,astar,,140,False,140,140,nan,2.962508982150149,nan,0,C_hard_maze_dense,0
euclid,focal,1.0,140,False,140,140,nan,2.962508982150149,nan,0,C_hard_maze_dense,0
euclid,focal,1.1,140,False,140,140,nan,2.962508982150149,nan,0,C_hard_maze_dense,0
euclid,astar,,152,False,152,152,nan,2.962508982150149,nan,0,C_hard_maze_dense,0
euclid,focal,1.0,152,False,152,152,nan,2.962508982150149,nan,0,C_hard_maze_dense,0
euclid,focal,1.1,152,True,149,149,3.0535610555037422,2.962508982150149,1.0307347838950716,0,C_hard_maze_dense,0
oracle,astar,,140,True,33,33,2.9625089821501485,2.962508982150149,0.9999999999999999,0,C_hard_maze_dense,0
oracle,focal,1.0,140,False,140,140,nan,2.962508982150149,nan,0,C_hard_maze_dense,0
oracle,focal,1.1,140,False,140,140,nan,2.962508982150149,nan,0,C_hard_maze_dense,0
oracle,astar,,152,True,33,33,2.9625089821501485,2.962508982150149,0.9999999999999999,0,C_hard_maze_dense,0
oracle,focal,1.0,152,False,152,152,nan,2.962508982150149,nan,0,C_hard_maze_dense,0
oracle,focal,1.1,152,True,149,149,3.024205453715604,2.962508982150149,1.0208257500440308,0,C_hard_maze_dense,0
scalar_hrm,astar,,140,True,134,134,3.0259103293821608,2.962508982150149,1.0214012337562588,0,C_hard_maze_dense,0
scalar_hrm,focal,1.0,140,False,140,140,nan,2.962508982150149,nan,0,C_hard_maze_dense,0
scalar_hrm,focal,1.1,140,False,140,140,nan,2.962508982150149,nan,0,C_hard_maze_dense,0
scalar_hrm,astar,,152,True,134,134,3.0259103293821608,2.962508982150149,1.0214012337562588,0,C_hard_maze_dense,0
scalar_hrm,focal,1.0,152,False,152,152,nan,2.962508982150149,nan,0,C_hard_maze_dense,0
scalar_hrm,focal,1.1,152,False,152,152,nan,2.962508982150149,nan,0,C_hard_maze_dense,0
scalar_onlstm,astar,,140,False,140,140,nan,2.962508982150149,nan,0,C_hard_maze_dense,0
