provider,mode,w,budget,found,expansions,closed,cost,optimal,suboptimality,nonfinite,suite,world_index
euclid,astar,,140,False,140,140,nan,5.492749461546772,nan,0,C_hard_rooms,0
euclid,focal,1.0,140,False,140,140,nan,5.492749461546772,nan,0,C_hard_rooms,0
euclid,focal,1.1,140,False,140,140,nan,5.492749461546772,nan,0,C_hard_rooms,0
euclid,astar,,152,True,152,152,5.492749461546772,5.492749461546772,1.0,0,C_hard_rooms,0
euclid,focal,1.0,152,True,152,152,5.492749461546772,5.492749461546772,1.0,0,C_hard_rooms,0
euclid,focal,1.1,152,True,149,149,5.700698388553853,5.492749461546772,1.0378588043133723,0,C_hard_rooms,0
oracle,astar,,140,True,31,31,5.492749461546772,5.492749461546772,1.0,0,C_hard_rooms,0
oracle,focal,1.0,140,False,140,140,nan,5.492749461546772,nan,0,C_hard_rooms,0
oracle,focal,1.1,140,False,140,140,nan,5.492749461546772,nan,0,C_hard_rooms,0
oracle,astar,,152,True,31,31,5.492749461546772,5.492749461546772,1.0,0,C_hard_rooms,0
oracle,focal,1.0,152,True,152,152,5.492749461546772,5.492749461546772,1.0,0,C_hard_rooms,0
oracle,focal,1.1,152,True,147,147,5.641600739232946,5.492749461546772,1.027099593514731,0,C_hard_rooms,0
scalar_hrm,astar,,140,True,116,116,5.766471230161724,5.492749461546772,1.0498332885071862,0,C_hard_rooms,0
scalar_hrm,focal,1.0,140,False,140,140,nan,5.492749461546772,nan,0,C_hard_rooms,0
scalar_hrm,focal,1.1,140,False,140,140,nan,5.492749461546772,nan,0,C_hard_rooms,0
scalar_hrm,astar,,152,True,116,116,5.766471230161724,5.492749461546772,1.0498332885071862,0,C_hard_rooms,0
scalar_hrm,focal,1.0,152,True,152,152,5.492749461546772,5.492749461546772,1.0,0,C_hard_rooms,0
scalar_hrm,focal,1.1,152,True,148,148,5.5744786296675715,5.492749461546772,1.0148794640449128,0,C_hard_rooms,0
scalar_onlstm,astar,,140,True,89,89,6.013581713030213,5.492749461546772,1.0948217746193676,0,C_hard_rooms,0
scalar_onlstm,focal,1.0,140,False,140,140,nan,5.492749461546772,nan,0,C_hard_rooms,0
scalar_onlstm,focal,1.1,140,False,140,140,nan,5.492749461546772,nan,0,C_hard_rooms,0
scalar_onlstm,astar,,152,True,89,89,6.013581713030213,5.492749461546772,1.0948217746193676,0,C_hard_rooms,0
scalar_onlstm,focal,1.0,152,True,152,152,5.492749461546772,5.492749461546772,1.0,0,C_hard_rooms,0
scalar_onlstm,focal,1.1,152,True,149,149,5.694412608191231,5.492749461546772,1.0367144265465316,0,C_hard_rooms,0
field_unet,astar,,140,True,114,114,5.677930962136634,5.492749461546772,1.0337138079729045,0,C_hard_rooms,0
field_unet,focal,1.0,140,False,140,140,nan,5.492749461546772,nan,0,C_hard_rooms,0
field_unet,focal,1.1,140,False,140,140,nan,5.492749461546772,nan,0,C_hard_rooms,0
field_unet,astar,,152,True,114,114,5.677930962136634,5.492749461546772,1.0337138079729045,0,C_hard_rooms,0
field_unet,focal,1.0,152,True,152,152,5.492749461546772,5.492749461546772,1.0,0,C_hard_rooms,0
field_unet,focal,1.1,152,True,148,148,5.62560842825682,5.492749461546772,1.0241880623975583,0,C_hard_rooms,0
field_onlstm,astar,,140,False,140,140,nan,5.492749461546772,nan,0,C_hard_rooms,0
field_onlstm,focal,1.0,140,False,140,140,nan,5.492749461546772,nan,0,C_hard_rooms,0
field_onlstm,focal,1.1,140,False,140,140,nan,5.492749461546772,nan,0,C_hard_rooms,0
field_onlstm,astar,,152,True,141,141,5.66434380312571,5.492749461546772,1.031240154458204,0,C_hard_rooms,0
field_onlstm,focal,1.0,152,True,152,152,5.492749461546772,5.492749461546772,1.0,0,C_hard_rooms,0
field_onlstm,focal,1.1,152,True,149,149,5.692353565943744,5.492749461546772,1.0363395610512267,0,C_hard_rooms,0
field_hrm,astar,,140,True,83,83,5.53354278559728,5.492749461546772,1.0074267585543617,0,C_hard_rooms,0
field_hrm,focal,1.0,140,False,140,140,nan,5.492749461546772,nan,0,C_hard_rooms,0
field_hrm,focal,1.1,140,False,140,140,nan,5.492749461546772,nan,0,C_hard_rooms,0
field_hrm,astar,,152,True,83,83,5.53354278559728,5.492749461546772,1.0074267585543617,0,C_hard_rooms,0
