provider,mode,w,budget,found,expansions,closed,cost,optimal,suboptimality,nonfinite,suite,world_index
euclid,astar,,56,False,56,56,nan,3.3176348284941257,nan,0,C_hard_rooms_large,0
euclid,focal,1.0,56,False,56,56,nan,3.3176348284941257,nan,0,C_hard_rooms_large,0
euclid,focal,1.1,56,True,49,49,3.460039172631153,3.3176348284941257,1.0429234534536354,0,C_hard_rooms_large,0
euclid,astar,,64,True,59,59,3.3176348284941257,3.3176348284941257,1.0,0,C_hard_rooms_large,0
euclid,focal,1.0,64,True,59,59,3.3176348284941257,3.3176348284941257,1.0,0,C_hard_rooms_large,0
euclid,focal,1.1,64,True,49,49,3.460039172631153,3.3176348284941257,1.0429234534536354,0,C_hard_rooms_large,0
oracle,astar,,56,True,12,12,3.3176348284941257,3.3176348284941257,1.0,0,C_hard_rooms_large,0
oracle,focal,1.0,56,False,56,56,nan,3.3176348284941257,nan,0,C_hard_rooms_large,0
oracle,focal,1.1,56,True,51,51,3.3304541283235327,3.3176348284941257,1.0038639875972202,0,C_hard_rooms_large,0
oracle,astar,,64,True,12,12,3.3176348284941257,3.3176348284941257,1.0,0,C_hard_rooms_large,0
oracle,focal,1.0,64,True,59,59,3.3176348284941257,3.3176348284941257,1.0,0,C_hard_rooms_large,0
oracle,focal,1.1,64,True,51,51,3.3304541283235327,3.3176348284941257,1.0038639875972202,0,C_hard_rooms_large,0
scalar_hrm,astar,,56,True,47,47,4.109384613780267,3.3176348284941257,1.2386488646930187,0,C_hard_rooms_large,0
scalar_hrm,focal,1.0,56,False,56,56,nan,3.3176348284941257,nan,0,C_hard_rooms_large,0
scalar_hrm,focal,1.1,56,True,50,50,3.4727925212136768,3.3176348284941257,1.0467675620556398,0,C_hard_rooms_large,0
scalar_hrm,astar,,64,True,47,47,4.109384613780267,3.3176348284941257,1.2386488646930187,0,C_hard_rooms_large,0
scalar_hrm,focal,1.0,64,True,59,59,3.3176348284941257,3.3176348284941257,1.0,0,C_hard_rooms_large,0
scalar_hrm,focal,1.1,64,True,50,50,3.4727925212136768,3.3176348284941257,1.0467675620556398,0,C_hard_rooms_large,0
scalar_onlstm,astar,,56,True,49,49,3.805446873104567,3.3176348284941257,1.147036087402018,0,C_hard_rooms_large,0
scalar_onlstm,focal,1.0,56,False,56,56,nan,3.3176348284941257,nan,0,C_hard_rooms_large,0
scalar_onlstm,focal,1.1,56,False,56,56,nan,3.3176348284941257,nan,0,C_hard_rooms_large,0
scalar_onlstm,astar,,64,True,49,49,3.805446873104567,3.3176348284941257,1.147036087402018,0,C_hard_rooms_large,0
scalar_onlstm,focal,1.0,64,True,59,59,3.3176348284941257,3.3176348284941257,1.0,0,C_hard_rooms_large,0
scalar_onlstm,focal,1.1,64,True,59,59,3.3304541283235327,3.3176348284941257,1.0038639875972202,0,C_hard_rooms_large,0
field_unet,astar,,56,True,48,48,3.456137411860974,3.3176348284941257,1.0417473864746334,0,C_hard_rooms_large,0
field_unet,focal,1.0,56,False,56,56,nan,3.3176348284941257,nan,0,C_hard_rooms_large,0
