provider,mode,w,budget,found,expansions,closed,cost,optimal,suboptimality,nonfinite,suite,world_index
euclid,astar,,140,False,140,140,nan,3.5251675488364445,nan,0,C_hard_spiral,0
euclid,focal,1.0,140,False,140,140,nan,3.5251675488364445,nan,0,C_hard_spiral,0
euclid,focal,1.1,140,True,124,124,3.676378341668069,3.5251675488364445,1.0428946399672647,0,C_hard_spiral,0
euclid,astar,,152,True,151,151,3.525167548836445,3.5251675488364445,1.0000000000000002,0,C_hard_spiral,0
euclid,focal,1.0,152,True,151,151,3.525167548836445,3.5251675488364445,1.0000000000000002,0,C_hard_spiral,0
euclid,focal,1.1,152,True,124,124,3.676378341668069,3.5251675488364445,1.0428946399672647,0,C_hard_spiral,0
oracle,astar,,140,True,36,36,3.525167548836445,3.5251675488364445,1.0000000000000002,0,C_hard_spiral,0
oracle,focal,1.0,140,False,140,140,nan,3.5251675488364445,nan,0,C_hard_spiral,0
oracle,focal,1.1,140,False,140,140,nan,3.5251675488364445,nan,0,C_hard_spiral,0
oracle,astar,,152,True,36,36,3.525167548836445,3.5251675488364445,1.0000000000000002,0,C_hard_spiral,0
oracle,focal,1.0,152,True,151,151,3.525167548836445,3.5251675488364445,1.0000000000000002,0,C_hard_spiral,0
oracle,focal,1.1,152,True,144,144,3.5524271475239333,3.5251675488364445,1.007732851931105,0,C_hard_spiral,0
scalar_hrm,astar,,140,True,129,129,3.591142217210728,3.5251675488364445,1.0187153284093007,0,C_hard_spiral,0
scalar_hrm,focal,1.0,140,False,140,140,nan,3.5251675488364445,nan,0,C_hard_spiral,0
scalar_hrm,focal,1.1,140,True,127,127,3.74397590532945,3.5251675488364445,1.0620703423203892,0,C_hard_spiral,0
scalar_hrm,astar,,152,True,129,129,3.591142217210728,3.5251675488364445,1.0187153284093007,0,C_hard_spiral,0
scalar_hrm,focal,1.0,152,True,151,151,3.525167548836445,3.5251675488364445,1.0000000000000002,0,C_hard_spiral,0
scalar_hrm,focal,1.1,152,True,127,127,3.74397590532945,3.5251675488364445,1.0620703423203892,0,C_hard_spiral,0
scalar_onlstm,astar,,140,True,138,138,3.6615843602990763,3.5251675488364445,1.0386979652946309,0,C_hard_spiral,0
scalar_onlstm,focal,1.0,140,False,140,140,nan,3.5251675488364445,nan,0,C_hard_spiral,0
scalar_onlstm,focal,1.1,140,False,140,140,nan,3.5251675488364445,nan,0,C_hard_spiral,0
scalar_onlstm,astar,,152,True,138,138,3.6615843602990763,3.5251675488364445,1.0386979652946309,0,C_hard_spiral,0
scalar_onlstm,focal,1.0,152,True,151,151,3.525167548836445,3.5251675488364445,1.0000000000000002,0,C_hard_spiral,0
scalar_onlstm,focal,1.1,152,True,145,145,3.634193253737586,3.5251675488364445,1.0309278079384134,0,C_hard_spiral,0
field_unet,astar,,140,True,134,134,3.5717681113383835,3.5251675488364445,1.0132193893925185,0,C_hard_spiral,0
field_unet,focal,1.0,140,False,140,140,nan,3.5251675488364445,nan,0,C_hard_spiral,0
