provider,mode,w,budget,found,expansions,arrival,optimal_arrival,suboptimality,closed,nonfinite,suite,world_index
euclid,astar,,150,False,150,-1,24.0,nan,150,0,C_dyn_crossing,0
euclid,focal,1.0,150,False,150,-1,24.0,nan,150,0,C_dyn_crossing,0
euclid,focal,1.1,150,False,150,-1,24.0,nan,150,0,C_dyn_crossing,0
euclid,astar,,250,False,250,-1,24.0,nan,250,0,C_dyn_crossing,0
euclid,focal,1.0,250,False,250,-1,24.0,nan,250,0,C_dyn_crossing,0
euclid,focal,1.1,250,False,250,-1,24.0,nan,250,0,C_dyn_crossing,0
oracle,astar,,150,True,28,24,24.0,1.0,28,0,C_dyn_crossing,0
oracle,focal,1.0,150,False,150,-1,24.0,nan,150,0,C_dyn_crossing,0
oracle,focal,1.1,150,False,150,-1,24.0,nan,150,0,C_dyn_crossing,0
oracle,astar,,250,True,28,24,24.0,1.0,28,0,C_dyn_crossing,0
oracle,focal,1.0,250,False,250,-1,24.0,nan,250,0,C_dyn_crossing,0
oracle,focal,1.1,250,False,250,-1,24.0,nan,250,0,C_dyn_crossing,0
scalar_hrm,astar,,150,True,22,27,24.0,1.125,22,0,C_dyn_crossing,0
scalar_hrm,focal,1.0,150,False,150,-1,24.0,nan,150,0,C_dyn_crossing,0
scalar_hrm,focal,1.1,150,False,150,-1,24.0,nan,150,0,C_dyn_crossing,0
scalar_hrm,astar,,250,True,22,27,24.0,1.125,22,0,C_dyn_crossing,0
scalar_hrm,focal,1.0,250,False,250,-1,24.0,nan,250,0,C_dyn_crossing,0
scalar_hrm,focal,1.1,250,False,250,-1,24.0,nan,250,0,C_dyn_crossing,0
scalar_hrm_blind,astar,,150,True,37,26,24.0,1.0833333333333333,37,0,C_dyn_crossing,0
scalar_hrm_blind,focal,1.0,150,False,150,-1,24.0,nan,150,0,C_dyn_crossing,0
scalar_hrm_blind,focal,1.1,150,False,150,-1,24.0,nan,150,0,C_dyn_crossing,0
scalar_hrm_blind,astar,,250,True,37,26,24.0,1.0833333333333333,37,0,C_dyn_crossing,0
