provider,mode,w,budget,found,expansions,arrival,optimal_arrival,suboptimality,closed,nonfinite,suite,world_index
euclid,astar,,1300,False,1300,-1,43.0,nan,1300,0,C_dyn_rooms,0
euclid,focal,1.0,1300,False,1300,-1,43.0,nan,1300,0,C_dyn_rooms,0
euclid,focal,1.1,1300,False,1300,-1,43.0,nan,1300,0,C_dyn_rooms,0
euclid,astar,,1800,False,1800,-1,43.0,nan,1800,0,C_dyn_rooms,0
euclid,focal,1.0,1800,False,1800,-1,43.0,nan,1800,0,C_dyn_rooms,0
euclid,focal,1.1,1800,False,1800,-1,43.0,nan,1800,0,C_dyn_rooms,0
oracle,astar,,1300,True,254,43,43.0,1.0,254,0,C_dyn_rooms,0
oracle,focal,1.0,1300,False,1300,-1,43.0,nan,1300,0,C_dyn_rooms,0
oracle,focal,1.1,1300,False,1300,-1,43.0,nan,1300,0,C_dyn_rooms,0
oracle,astar,,1800,True,254,43,43.0,1.0,254,0,C_dyn_rooms,0
oracle,focal,1.0,1800,False,1800,-1,43.0,nan,1800,0,C_dyn_rooms,0
oracle,focal,1.1,1800,False,1800,-1,43.0,nan,1800,0,C_dyn_rooms,0
scalar_hrm,astar,,1300,True,540,44,43.0,1.0232558139534884,540,0,C_dyn_rooms,0
scalar_hrm,focal,1.0,1300,False,1300,-1,43.0,nan,1300,0,C_dyn_rooms,0
scalar_hrm,focal,1.1,1300,False,1300,-1,43.0,nan,1300,0,C_dyn_rooms,0
scalar_hrm,astar,,1800,True,540,44,43.0,1.0232558139534884,540,0,C_dyn_rooms,0
scalar_hrm,focal,1.0,1800,False,1800,-1,43.0,nan,1800,0,C_dyn_rooms,0
scalar_hrm,focal,1.1,1800,False,1800,-1,43.0,nan,1800,0,C_dyn_rooms,0
scalar_hrm_blind,astar,,1300,True,834,43,43.0,1.0,834,0,C_dyn_rooms,0
scalar_hrm_blind,focal,1.0,1300,False,1300,-1,43.0,nan,1300,0,C_dyn_rooms,0
scalar_hrm_blind,focal,1.1,1300,False,1300,-1,43.0,nan,1300,0,C_dyn_rooms,0
scalar_hrm_blind,astar,,1800,True,834,43,43.0,1.0,834,0,C_dyn_rooms,0
scalar_hrm_blind,focal,1.0,1800,False,1800,-1,43.0,nan,1800,0,C_dyn_rooms,0
scalar_hrm_blind,focal,1.1,1800,False,1800,-1,43.0,nan,1800,0,C_dyn_rooms,0
scalar_onlstm,astar,,1300,True,413,43,43.0,1.0,413,0,C_dyn_rooms,0
scalar_onlstm,focal,1.0,1300,False,1300,-1,43.0,nan,1300,0,C_dyn_rooms,0
scalar_onlstm,focal,1.1,1300,False,1300,-1,43.0,nan,1300,0,C_dyn_rooms,0
scalar_onlstm,astar,,1800,True,413,43,43.0,1.0,413,0,C_dyn_rooms,0
scalar_onlstm,focal,1.0,1800,False,1800,-1,43.0,nan,1800,0,C_dyn_rooms,0
scalar_onlstm,focal,1.1,1800,False,1800,-1,43.0,nan,1800,0,C_dyn_rooms,0
scalar_onlstm_blind,astar,,1300,True,559,43,43.0,1.0,559,0,C_dyn_rooms,0
scalar_onlstm_blind,focal,1.0,1300,False,1300,-1,43.0,nan,1300,0,C_dyn_rooms,0
scalar_onlstm_blind,focal,1.1,1300,False,1300,-1,43.0,nan,1300,0,C_dyn_rooms,0
scalar_onlstm_blind,astar,,1800,True,559,43,43.0,1.0,559,0,C_dyn_rooms,0
scalar_onlstm_blind,focal,1.0,1800,False,1800,-1,43.0,nan,1800,0,C_dyn_rooms,0
scalar_onlstm_blind,focal,1.1,1800,False,1800,-1,43.0,nan,1800,0,C_dyn_rooms,0
field_unet,astar,,1300,True,602,43,43.0,1.0,602,0,C_dyn_rooms,0
field_unet,focal,1.0,1300,False,1300,-1,43.0,nan,1300,0,C_dyn_rooms,0
field_unet,focal,1.1,1300,False,1300,-1,43.0,nan,1300,0,C_dyn_rooms,0
field_unet,astar,,1800,True,602,43,43.0,1.0,602,0,C_dyn_rooms,0
field_unet,focal,1.0,1800,False,1800,-1,43.0,nan,1800,0,C_dyn_rooms,0
field_unet,focal,1.1,1800,False,1800,-1,43.0,nan,1800,0,C_dyn_rooms,0
field_unet_blind,astar,,1300,True,692,43,43.0,1.0,692,0,C_dyn_rooms,0
field_unet_blind,focal,1.0,1300,False,1300,-1,43.0,nan,1300,0,C_dyn_rooms,0
field_unet_blind,focal,1.1,1300,False,1300,-1,43.0,nan,1300,0,C_dyn_rooms,0
field_unet_blind,astar,,1800,True,692,43,43.0,1.0,692,0,C_dyn_rooms,0
field_unet_blind,focal,1.0,1800,False,1800,-1,43.0,nan,1800,0,C_dyn_rooms,0
field_unet_blind,focal,1.1,1800,False,1800,-1,43.0,nan,1800,0,C_dyn_rooms,0
field_hrm,astar,,1300,True,941,43,43.0,1.0,941,0,C_dyn_rooms,0
field_hrm,focal,1.0,1300,False,1300,-1,43.0,nan,1300,0,C_dyn_rooms,0
field_hrm,focal,1.1,1300,False,1300,-1,43.0,nan,1300,0,C_dyn_rooms,0
field_hrm,astar,,1800,True,941,43,43.0,1.0,941,0,C_dyn_rooms,0
field_hrm,focal,1.0,1800,False,1800,-1,43.0,nan,1800,0,C_dyn_rooms,0
field_hrm,focal,1.1,1800,False,1800,-1,43.0,nan,1800,0,C_dyn_rooms,0
field_hrm_blind,astar,,1300,True,608,44,43.0,1.0232558139534884,608,0,C_dyn_rooms,0
field_hrm_blind,focal,1.0,1300,False,1300,-1,43.0,nan,1300,0,C_dyn_rooms,0
field_hrm_blind,focal,1.1,1300,False,1300,-1,43.0,nan,1300,0,C_dyn_rooms,0
field_hrm_blind,astar,,1800,True,608,44,43.0,1.0232558139534884,608,0,C_dyn_rooms,0
field_hrm_blind,focal,1.0,1800,False,1800,-1,43.0,nan,1800,0,C_dyn_rooms,0
field_hrm_blind,focal,1.1,1800,False,1800,-1,43.0,nan,1800,0,C_dyn_rooms,0
euclid,astar,,1300,False,1300,-1,38.0,nan,1300,0,C_dyn_rooms,1
euclid,focal,1.0,1300,False,1300,-1,38.0,nan,1300,0,C_dyn_rooms,1
euclid,focal,1.1,1300,False,1300,-1,38.0,nan,1300,0,C_dyn_rooms,1
euclid,astar,,1800,True,1449,38,38.0,1.0,1449,0,C_dyn_rooms,1
euclid,focal,1.0,1800,True,1449,38,38.0,1.0,1449,0,C_dyn_rooms,1
euclid,focal,1.1,1800,True,1380,38,38.0,1.0,1380,0,C_dyn_rooms,1
oracle,astar,,1300,True,28,38,38.0,1.0,28,0,C_dyn_rooms,1
oracle,focal,1.0,1300,False,1300,-1,38.0,nan,1300,0,C_dyn_rooms,1
oracle,focal,1.1,1300,False,1300,-1,38.0,nan,1300,0,C_dyn_rooms,1
oracle,astar,,1800,True,28,38,38.0,1.0,28,0,C_dyn_rooms,1
oracle,focal,1.0,1800,True,1449,38,38.0,1.0,1449,0,C_dyn_rooms,1
oracle,focal,1.1,1800,True,1382,38,38.0,1.0,1382,0,C_dyn_rooms,1
scalar_hrm,astar,,1300,True,401,38,38.0,1.0,401,0,C_dyn_rooms,1
scalar_hrm,focal,1.0,1300,False,1300,-1,38.0,nan,1300,0,C_dyn_rooms,1
scalar_hrm,focal,1.1,1300,True,1107,38,38.0,1.0,1107,0,C_dyn_rooms,1
scalar_hrm,astar,,1800,True,401,38,38.0,1.0,401,0,C_dyn_rooms,1
scalar_hrm,focal,1.0,1800,True,1449,38,38.0,1.0,1449,0,C_dyn_rooms,1
scalar_hrm,focal,1.1,1800,True,1107,38,38.0,1.0,1107,0,C_dyn_rooms,1
scalar_hrm_blind,astar,,1300,True,359,38,38.0,1.0,359,0,C_dyn_rooms,1
scalar_hrm_blind,focal,1.0,1300,False,1300,-1,38.0,nan,1300,0,C_dyn_rooms,1
scalar_hrm_blind,focal,1.1,1300,True,1110,38,38.0,1.0,1110,0,C_dyn_rooms,1
