provider,mode,w,budget,found,expansions,arrival,optimal_arrival,suboptimality,closed,nonfinite,suite,world_index
euclid,astar,,400,False,400,-1,30.0,nan,400,0,C_dyn_rooms_large,0
euclid,focal,1.0,400,False,400,-1,30.0,nan,400,0,C_dyn_rooms_large,0
euclid,focal,1.1,400,False,400,-1,30.0,nan,400,0,C_dyn_rooms_large,0
euclid,astar,,600,False,600,-1,30.0,nan,600,0,C_dyn_rooms_large,0
euclid,focal,1.0,600,False,600,-1,30.0,nan,600,0,C_dyn_rooms_large,0
euclid,focal,1.1,600,False,600,-1,30.0,nan,600,0,C_dyn_rooms_large,0
oracle,astar,,400,True,56,30,30.0,1.0,56,0,C_dyn_rooms_large,0
oracle,focal,1.0,400,False,400,-1,30.0,nan,400,0,C_dyn_rooms_large,0
oracle,focal,1.1,400,False,400,-1,30.0,nan,400,0,C_dyn_rooms_large,0
oracle,astar,,600,True,56,30,30.0,1.0,56,0,C_dyn_rooms_large,0
oracle,focal,1.0,600,False,600,-1,30.0,nan,600,0,C_dyn_rooms_large,0
oracle,focal,1.1,600,False,600,-1,30.0,nan,600,0,C_dyn_rooms_large,0
scalar_hrm,astar,,400,True,185,30,30.0,1.0,185,0,C_dyn_rooms_large,0
scalar_hrm,focal,1.0,400,False,400,-1,30.0,nan,400,0,C_dyn_rooms_large,0
scalar_hrm,focal,1.1,400,False,400,-1,30.0,nan,400,0,C_dyn_rooms_large,0
scalar_hrm,astar,,600,True,185,30,30.0,1.0,185,0,C_dyn_rooms_large,0
scalar_hrm,focal,1.0,600,False,600,-1,30.0,nan,600,0,C_dyn_rooms_large,0
scalar_hrm,focal,1.1,600,False,600,-1,30.0,nan,600,0,C_dyn_rooms_large,0
scalar_hrm_blind,astar,,400,True,230,30,30.0,1.0,230,0,C_dyn_rooms_large,0
scalar_hrm_blind,focal,1.0,400,False,400,-1,30.0,nan,400,0,C_dyn_rooms_large,0
scalar_hrm_blind,focal,1.1,400,False,400,-1,30.0,nan,400,0,C_dyn_rooms_large,0
scalar_hrm_blind,astar,,600,True,230,30,30.0,1.0,230,0,C_dyn_rooms_large,0
scalar_hrm_blind,focal,1.0,600,False,600,-1,30.0,nan,600,0,C_dyn_rooms_large,0
scalar_hrm_blind,focal,1.1,600,False,600,-1,30.0,nan,600,0,C_dyn_rooms_large,0
