provider,mode,w,budget,found,expansions,arrival,optimal_arrival,suboptimality,closed,nonfinite,suite,world_index
euclid,astar,,2500,False,2500,-1,nan,nan,2500,0,C_dyn_spiral,0
euclid,focal,1.0,2500,False,2500,-1,nan,nan,2500,0,C_dyn_spiral,0
euclid,focal,1.1,2500,False,2500,-1,nan,nan,2500,0,C_dyn_spiral,0
euclid,astar,,3500,False,3500,-1,nan,nan,3500,0,C_dyn_spiral,0
euclid,focal,1.0,3500,False,3500,-1,nan,nan,3500,0,C_dyn_spiral,0
euclid,focal,1.1,3500,False,3500,-1,nan,nan,3500,0,C_dyn_spiral,0
oracle,astar,,2500,False,2500,-1,nan,nan,2500,0,C_dyn_spiral,0
oracle,focal,1.0,2500,False,2500,-1,nan,nan,2500,0,C_dyn_spiral,0
oracle,focal,1.1,2500,False,2500,-1,nan,nan,2500,0,C_dyn_spiral,0
oracle,astar,,3500,False,3500,-1,nan,nan,3500,0,C_dyn_spiral,0
oracle,focal,1.0,3500,False,3500,-1,nan,nan,3500,0,C_dyn_spiral,0
oracle,focal,1.1,3500,False,3500,-1,nan,nan,3500,0,C_dyn_spiral,0
scalar_hrm,astar,,2500,False,2500,-1,nan,nan,2500,0,C_dyn_spiral,0
scalar_hrm,focal,1.0,2500,False,2500,-1,nan,nan,2500,0,C_dyn_spiral,0
scalar_hrm,focal,1.1,2500,False,2500,-1,nan,nan,2500,0,C_dyn_spiral,0
scalar_hrm,astar,,3500,False,3500,-1,nan,nan,3500,0,C_dyn_spiral,0
scalar_hrm,focal,1.0,3500,False,3500,-1,nan,nan,3500,0,C_dyn_spiral,0
scalar_hrm,focal,1.1,3500,False,3500,-1,nan,nan,3500,0,C_dyn_spiral,0
scalar_hrm_blind,astar,,2500,False,2500,-1,nan,nan,2500,0,C_dyn_spiral,0
scalar_hrm_blind,focal,1.0,2500,False,2500,-1,nan,nan,2500,0,C_dyn_spiral,0
scalar_hrm_blind,focal,1.1,2500,False,2500,-1,nan,nan,2500,0,C_dyn_spiral,0
scalar_hrm_blind,astar,,3500,False,3500,-1,nan,nan,3500,0,C_dyn_spiral,0
scalar_hrm_blind,focal,1.0,3500,False,3500,-1,nan,nan,3500,0,C_dyn_spiral,0
scalar_hrm_blind,focal,1.1,3500,False,3500,-1,nan,nan,3500,0,C_dyn_spiral,0
scalar_onlstm,astar,,2500,False,2500,-1,nan,nan,2500,0,C_dyn_spiral,0
scalar_onlstm,focal,1.0,2500,False,2500,-1,nan,nan,2500,0,C_dyn_spiral,0
scalar_onlstm,focal,1.1,2500,False,2500,-1,nan,nan,2500,0,C_dyn_spiral,0
scalar_onlstm,astar,,3500,False,3500,-1,nan,nan,3500,0,C_dyn_spiral,0
scalar_onlstm,focal,1.0,3500,False,3500,-1,nan,nan,3500,0,C_dyn_spiral,0
scalar_onlstm,focal,1.1,3500,False,3500,-1,nan,nan,3500,0,C_dyn_spiral,0
scalar_onlstm_blind,astar,,2500,False,2500,-1,nan,nan,2500,0,C_dyn_spiral,0
scalar_onlstm_blind,focal,1.0,2500,False,2500,-1,nan,nan,2500,0,C_dyn_spiral,0
scalar_onlstm_blind,focal,1.1,2500,False,2500,-1,nan,nan,2500,0,C_dyn_spiral,0
scalar_onlstm_blind,astar,,3500,False,3500,-1,nan,nan,3500,0,C_dyn_spiral,0
scalar_onlstm_blind,focal,1.0,3500,False,3500,-1,nan,nan,3500,0,C_dyn_spiral,0
scalar_onlstm_blind,focal,1.1,3500,False,3500,-1,nan,nan,3500,0,C_dyn_spiral,0
field_unet,astar,,2500,False,2500,-1,nan,nan,2500,0,C_dyn_spiral,0
field_unet,focal,1.0,2500,False,2500,-1,nan,nan,2500,0,C_dyn_spiral,0
field_unet,focal,1.1,2500,False,2500,-1,nan,nan,2500,0,C_dyn_spiral,0
field_unet,astar,,3500,False,3500,-1,nan,nan,3500,0,C_dyn_spiral,0
field_unet,focal,1.0,3500,False,3500,-1,nan,nan,3500,0,C_dyn_spiral,0
field_unet,focal,1.1,3500,False,3500,-1,nan,nan,3500,0,C_dyn_spiral,0
field_unet_blind,astar,,2500,False,2500,-1,nan,nan,2500,0,C_dyn_spiral,0
field_unet_blind,focal,1.0,2500,False,2500,-1,nan,nan,2500,0,C_dyn_spiral,0
field_unet_blind,focal,1.1,2500,False,2500,-1,nan,nan,2500,0,C_dyn_spiral,0
field_unet_blind,astar,,3500,False,3500,-1,nan,nan,3500,0,C_dyn_spiral,0
field_unet_blind,focal,1.0,3500,False,3500,-1,nan,nan,3500,0,C_dyn_spiral,0
field_unet_blind,focal,1.1,3500,False,3500,-1,nan,nan,3500,0,C_dyn_spiral,0
field_hrm,astar,,2500,False,2500,-1,nan,nan,2500,0,C_dyn_spiral,0
field_hrm,focal,1.0,2500,False,2500,-1,nan,nan,2500,0,C_dyn_spiral,0
field_hrm,focal,1.1,2500,False,2500,-1,nan,nan,2500,0,C_dyn_spiral,0
field_hrm,astar,,3500,False,3500,-1,nan,nan,3500,0,C_dyn_spiral,0
field_hrm,focal,1.0,3500,False,3500,-1,nan,nan,3500,0,C_dyn_spiral,0
field_hrm,focal,1.1,3500,False,3500,-1,nan,nan,3500,0,C_dyn_spiral,0
field_hrm_blind,astar,,2500,False,2500,-1,nan,nan,2500,0,C_dyn_spiral,0
field_hrm_blind,focal,1.0,2500,False,2500,-1,nan,nan,2500,0,C_dyn_spiral,0
field_hrm_blind,focal,1.1,2500,False,2500,-1,nan,nan,2500,0,C_dyn_spiral,0
field_hrm_blind,astar,,3500,False,3500,-1,nan,nan,3500,0,C_dyn_spiral,0
field_hrm_blind,focal,1.0,3500,False,3500,-1,nan,nan,3500,0,C_dyn_spiral,0
field_hrm_blind,focal,1.1,3500,False,3500,-1,nan,nan,3500,0,C_dyn_spiral,0
euclid,astar,,2500,False,2500,-1,65.0,nan,2500,0,C_dyn_spiral,1
euclid,focal,1.0,2500,False,2500,-1,65.0,nan,2500,0,C_dyn_spiral,1
euclid,focal,1.1,2500,False,2500,-1,65.0,nan,2500,0,C_dyn_spiral,1
euclid,astar,,3500,False,3500,-1,65.0,nan,3500,0,C_dyn_spiral,1
euclid,focal,1.0,3500,False,3500,-1,65.0,nan,3500,0,C_dyn_spiral,1
euclid,focal,1.1,3500,False,3500,-1,65.0,nan,3500,0,C_dyn_spiral,1
oracle,astar,,2500,True,368,65,65.0,1.0,368,0,C_dyn_spiral,1
oracle,focal,1.0,2500,False,2500,-1,65.0,nan,2500,0,C_dyn_spiral,1
oracle,focal,1.1,2500,False,2500,-1,65.0,nan,2500,0,C_dyn_spiral,1
oracle,astar,,3500,True,368,65,65.0,1.0,368,0,C_dyn_spiral,1
oracle,focal,1.0,3500,False,3500,-1,65.0,nan,3500,0,C_dyn_spiral,1
oracle,focal,1.1,3500,False,3500,-1,65.0,nan,3500,0,C_dyn_spiral,1
scalar_hrm,astar,,2500,False,2500,-1,65.0,nan,2500,0,C_dyn_spiral,1
