target,backbone,method,K,n_matched,exp_ratio_median,ci_lo,ci_hi,success
C_hard_maze_dense,hrm,zero_shot,0,10,0.650068051363986,0.5461413951545531,0.6919256039558551,1.0
C_hard_maze_dense,hrm,lora_bounded,1,30,0.6538848452571158,0.5488721804511278,0.6838235294117647,1.0
C_hard_maze_dense,hrm,lora_bounded,4,30,0.6923486596840049,0.5488721804511278,0.7272443110777694,0.9666666666666667
C_hard_maze_dense,hrm,lora_bounded,16,30,0.6927182163187856,0.6492449991642057,0.723497675486426,0.9777777777777777
C_hard_maze_dense,hrm,lora_unbounded,1,30,0.6577016391502455,0.5488721804511278,0.6838235294117647,1.0
C_hard_maze_dense,hrm,lora_unbounded,4,30,0.6943179019945827,0.5488721804511278,0.7272443110777694,0.9666666666666667
C_hard_maze_dense,hrm,lora_unbounded,16,30,0.6856617647058824,0.6520234006011163,0.7202772556390977,0.9777777777777777
C_hard_maze_dense,hrm,full_ft,1,29,0.8046875,0.7218045112781954,0.8962962962962963,0.7111111111111111
C_hard_maze_dense,hrm,full_ft,4,30,0.6766726403823178,0.6147056484807664,0.7445255474452555,0.9666666666666667
C_hard_maze_dense,hrm,full_ft,16,30,0.5908699397071491,0.5514705882352942,0.6370967741935484,0.9888888888888889
C_hard_maze_dense,hrm,scratch,1,30,1.0,1.0,1.0,0.3333333333333333
C_hard_maze_dense,hrm,scratch,4,27,1.0,1.0,1.0158730158730158,0.32222222222222224
C_hard_maze_dense,hrm,scratch,16,29,0.9841269841269841,0.967741935483871,1.0072992700729928,0.5333333333333333
C_hard_maze_dense,onlstm,zero_shot,0,10,0.8733036471586091,0.782258064516129,0.9338235294117647,0.9333333333333333
C_hard_maze_dense,onlstm,lora_bounded,1,30,0.8733036471586091,0.7889392512361667,0.8984962406015038,0.9222222222222223
C_hard_maze_dense,onlstm,lora_bounded,4,30,0.8447741491132411,0.7518248175182481,0.8611111111111112,0.9666666666666667
C_hard_maze_dense,onlstm,lora_bounded,16,30,0.689327485380117,0.635949377695157,0.7160729431721797,1.0
C_hard_maze_dense,onlstm,lora_unbounded,1,30,0.8733036471586091,0.7889392512361667,0.8984962406015038,0.9222222222222223
C_hard_maze_dense,onlstm,lora_unbounded,4,30,0.8447741491132411,0.7591240875912408,0.8611111111111112,0.9666666666666667
C_hard_maze_dense,onlstm,lora_unbounded,16,30,0.6815213215520552,0.635949377695157,0.7160729431721797,1.0
C_hard_maze_dense,onlstm,full_ft,1,30,0.6342357073643411,0.5979460193515532,0.717682442363334,0.9222222222222223
C_hard_maze_dense,onlstm,full_ft,4,30,0.7020609318996416,0.6149064781021898,0.7867647058823529,0.9111111111111111
C_hard_maze_dense,onlstm,full_ft,16,30,0.5971471555134563,0.532258064516129,0.6424517769756458,0.9777777777777777
C_hard_maze_dense,onlstm,scratch,1,30,1.0,1.0,1.0,0.3333333333333333
C_hard_maze_dense,onlstm,scratch,4,30,1.0,1.0,1.0,0.3333333333333333
C_hard_maze_dense,onlstm,scratch,16,30,0.992619825708061,0.9847328244274809,1.0,0.36666666666666664
C_hard_maze_dense,unet,zero_shot,0,10,0.7640323304894476,0.724624060150376,0.8666666666666667,1.0
C_hard_maze_dense,unet,lora_bounded,1,30,0.7678491243825774,0.75,0.7903225806451613,1.0
C_hard_maze_dense,unet,lora_bounded,4,30,0.7678491243825774,0.7421875,0.7903225806451613,1.0
C_hard_maze_dense,unet,lora_bounded,16,30,0.7678491243825774,0.75,0.7903225806451613,1.0
C_hard_maze_dense,unet,lora_unbounded,1,30,0.7678491243825774,0.75,0.7903225806451613,1.0
C_hard_maze_dense,unet,lora_unbounded,4,30,0.7678491243825774,0.7421875,0.7903225806451613,1.0
C_hard_maze_dense,unet,lora_unbounded,16,30,0.7678491243825774,0.75,0.7903225806451613,1.0
C_hard_maze_dense,unet,full_ft,1,30,0.8028937381404174,0.6780886726142201,0.8571428571428571,0.7444444444444445
C_hard_maze_dense,unet,full_ft,4,30,0.6830946676324734,0.5824119793902962,0.7390306928235818,0.9111111111111111
C_hard_maze_dense,unet,full_ft,16,30,0.6945504664970314,0.6227189781021898,0.7743640856172688,0.8333333333333334
C_hard_maze_dense,unet,scratch,1,19,0.7857142857142857,0.7426470588235294,0.813953488372093,0.4222222222222222
C_hard_maze_dense,unet,scratch,4,30,0.813339276759347,0.7596288515406162,0.8686131386861314,0.7111111111111111
C_hard_maze_dense,unet,scratch,16,30,0.8860294117647058,0.8285774869744336,0.969866494401378,0.5777777777777777
C_hard_bugtrap,hrm,zero_shot,0,15,0.6956521739130435,0.6153846153846154,0.7333333333333333,0.8333333333333334
C_hard_bugtrap,hrm,lora_bounded,1,45,0.6956521739130435,0.625,0.7,0.8333333333333334
